분류,제목,만료날짜,참여인원
인권/성평등,약학대학의 여성 편향적 모집인원을 개선해주십시오.,2020-07-08,"13,740명"
문화/예술/체육/언론,2D 캐릭터에 대한 아동청소년보호법 처벌을 철회해주세요.,2020-07-08,"11,619명"
인권/성평등,2d인권은 좀 심하지 읺았나요?,2020-07-08,593명
육아/교육,아청법 개정을 요청합니다,2020-07-08,434명
경제민주화,금융위원회에 주식시장 공매도 거래 관련하여 요구합니다.,2020-07-08,"10,904명"
기타,MBI사기 고소건을 한곳에서 전국병합건으로 통합수사해 주시기 바랍니다.,2020-07-08,176명
보건복지,국가유공자 유족 연금지급에 대해 재검토해주세요,2020-07-08,191명
교통/건축/국토,"하천, 소하천 등의 둔치 계단 부실 시공 및 관련 법규 미비에 따른 법률안 제정, 실태점검에 관한 청원",2020-07-08,141명
안전/환경,성폭행범 조두순의 출소를 반대합니다.,2020-07-08,"2,488명"
인권/성평등,'창원 식당 여주인 살인사건' 피해자의 아들입니다.,2020-07-08,"33,152명"
일자리,1년 미만 근로자에게 퇴직금 지급하라는 법 철회 요구합니다.,2020-07-08,"11,468명"
보건복지,명동의 국가재난 사태를 고하는 글,2020-07-08,420명
행정,마을 한 가운데 문중묘지를  허가해 준 경기 광주시의 행정을 취소해 주세요!~,2020-07-08,169명
보건복지,올해 바뀐 정책으로 가입한 실비보험사에서 통원의료비 지급거절,2020-07-08,299명
기타,시세 조작하는 가상화폐 거래소 처벌해 주세요,2020-07-08,168명
행정,사업부도와 국세행정,2020-07-08,116명
반려동물,계양산개농장철거!!!,2020-07-08,"19,027명"
육아/교육,대통령님 9살 아들죽인 계모때문에라도 사형제도 부활시켜주세요,2020-07-08,779명
성장동력,과적.심청이 아부지법,2020-07-08,170명
기타,방과후 강사들을 도와주세요.,2020-07-08,883명
인권/성평등,공문서와 인장을 불법위조를 하여 범죄혐의자를 무혐의처리 되도록 가짜문건을 만들어 행사를 한 사건을 분명하게 바로 잡혀질수 있도록 간곡하게 청원합니다.,2020-07-08,185명
인권/성평등,가정 폭력 피해 아동을 위한 아동 학대 법률을 강화해 주세요.,2020-07-08,718명
행정,베트남산 합판에 대한 잠정덤핑관세 부과  취소 요청,2020-07-08,136명
인권/성평등,아이는 엄마가 낳았는데  왜 이름에는 아빠의 성만 있나요?,2020-07-08,931명
일자리,제주도 시멘트  운송차량 파업 철회 촉구  청원,2020-07-08,107명
기타,생리대가격 인하시켜주세요.,2020-07-08,543명
인권/성평등,이 아이를 지켜주세요,2020-07-08,393명
인권/성평등,우리 아이가 성범죄 가해학생과 같은학교를 다닙니다. 우리 아이를 지옥에서 벗어날 수 있게 도와주세요!,2020-07-06,"3,588명"
일자리,**의 갑질횡포로 19년 된 회사가 풍비박산이 났습니다. (왜 이렇게 했는지 진실을 밝혀 주세요),2020-07-06,726명
행정,꼭 지금 이시점에서 대규모 공채를 강행해야합니까??,2020-07-06,514명
보건복지,확진자가 다녀간 기말대면시험 강행하는 **대학교 비대면 시험으로 변경해주세요,2020-07-06,197명
보건복지,코로나 완치시 혈장기부 서약하도록 해주세요,2020-07-06,759명
기타,생리대의 가격을 낮춰주세요.,2020-07-06,"3,375명"
교통/건축/국토,방배 ** 서비스 센터 보증기간 허비를 위한 부품 재고 조작 고발,2020-07-06,285명
정치개혁,모든 것에 악인 적폐의 공소효를 폐지 합시다,2020-07-06,"1,114명"
기타,수능시험 가채점표 작성시간을 주세요,2020-07-06,711명
경제민주화,"한시적공매도 금지기간에, 불법적으로 공매도 치는 세력을 검찰조사해 주십시요",2020-07-06,763명
정치개혁,문재인 대통령님께 입에 담지 못할 폭언하는 자칭 태극기세력들 처벌해 주십시오.,2020-07-05,"4,246명"
정치개혁,"국회의원수 100명으로 줄이고  행정공무원수 감원하고 소방,경찰,복지,공무원 증원 합시다.",2020-07-05,"1,791명"
행정,하우스푸어들을 도와준다고 그들의 집을 사들여서 엄청난 폭리를 취한 국토교통부와 한국토지주택공사(LH)의 행위를 고발합니다.,2020-07-05,722명
일자리,한국도로공사 부정채용 전국민에게 알립니다.,2020-07-05,595명
인권/성평등,아동학대범 신상공개 및 10년 이상 징역 등 아동학대 범죄에 대한 강력처벌 청원합니다.(천안 아동학대로 사망한 9세 아이의 명복을 진심으로 빕니다.),2020-07-05,"7,331명"
안전/환경,양주시 검은가루 수돗물 사태 청원신청합니다,2020-07-05,585명
교통/건축/국토,한평생 홀로 살면서 모으신 저의 어머니 재산을 지켜주세요(너무 억울합니다),2020-07-05,355명
문화/예술/체육/언론,언론개혁  징벌적 손해배상,2020-07-05,"1,517명"
기타,**자동차 / 더뉴*** 결함 관련 조사 부탁드립니다.,2020-07-05,"2,919명"
일자리,코로나19 재난지역이라 배송이 안된다는 거짓말로 국민을 불안에  떨게하는 **택배를 엄벌에 처해주세요!!,2020-07-05,"1,246명"
보건복지,보건복지부 입법행정예고를 철회해 주세요.,2020-07-05,"5,240명"
일자리,"고용안정지원금, 일 열심히 했다고 지원을 안 합니까?",2020-07-05,"2,328명"
기타,갑질및 부당거래및현금갈취,2020-07-05,296명
기타,1년을 넘게 사기치는 중고나라 사기꾼을 잡아 주시고 중고거래시 인터넷 뱅킹의 지급제한이 되는 법안과 인터넷 사기꾼에 대해서 가중처벌 등의 강력한 법안을 마련해 주세요.,2020-07-05,516명
행정,없어진 제도 때문에 고통받고있는 저희 남편을 구제해주세요,2020-07-05,215명
육아/교육,정부와 교육부는 현실적인 마스크 착용 대책을 마련하십시오!!!,2020-07-05,538명
기타,갑질하는건물주 도와주세요,2020-07-05,324명
안전/환경,등교 중지를 강력히 원합니다.,2020-07-05,"1,610명"
정치개혁,여성가족부 개선or폐지,2020-07-04,"3,346명"
육아/교육,아동학대 처벌법 강화 및 아동보호 국가시스템 도입이 시급합니다!,2020-07-04,"12,963명"
육아/교육,11살 의붓아들을 여행가방에 가둬 숨지게 한 계모의 신상공개와 엄중처벌을 청원합니다.,2020-07-04,"21,433명"
보건복지,발달장애인 청년과 그 엄마의 죽음에 대해  대통령님 응답해주시기 바랍니다.,2020-07-04,"15,064명"
교통/건축/국토,고인이 되신 아버지를 기만하고 불합리한 거래를 진행한 '*****' 업체를 고발합니다.,2020-07-04,360명
안전/환경,천안에서 계모의 학대로 한 아이가 캐리어에서 끔찍하게 죽었습니다. 계모의 신상공개 및 강력처벌 원합니다.,2020-07-04,"8,724명"
육아/교육,아이를 가방에 가두고 살해한 계모를 신상공개해주세요!!!,2020-07-04,"4,323명"
인권/성평등,아동학대 근절을 위한 원가정보호법 개정과 실질적 피해아동 사후보호체계를 마련해주세요,2020-07-04,"1,965명"
교통/건축/국토,자동차영업사원들의 수당을 가로채는 인터넷리스 에이전시 및 업체를 신고 합니다.,2020-07-04,"3,778명"
육아/교육,"여행가방 속에 7시간 동안 갇히게 하여 9살 아이를 사망케한 , 의붓엄마 B(43)씨를 엄벌하여 주십쇼.",2020-07-04,"3,799명"
육아/교육,아동학대 방지법 개선을 촉구합니다.,2020-07-04,"1,294명"
안전/환경,아동학대로  여행용 캐리어 안에 감금되었다 의식불명 상태에 빠졌던 9살 아이가 끝내 숨졌습니다. 아동학대 엄벌에 처해주십시오.,2020-07-04,"103,569명"
인권/성평등,국내 점자 표준 규격 확립 및 점자 표기 실태 개선을 촉구합니다.,2020-07-04,145명
기타,600여건의 잔인한 아동학대가 있음에도 불구하고 처벌하지 않은 **지청 담당검사를 고발합니다.,2020-07-04,"1,884명"
보건복지,근육병치료제 수입 및 치료 서둘러주세요,2020-07-04,"1,115명"
안전/환경,전동 킥보드 한강 자전거도로 출입금지 청원합니다,2020-07-04,498명
일자리,******의 불합리한 해고 지시를 철회해주세요,2020-07-04,"1,007명"
안전/환경,부천 까치울초등학교 옆 70m에 고속도로 진출입로 설치를 막아주세요,2020-07-04,"1,263명"
경제민주화,****  상장페지 사유 발생 및 김** 부회장  사익추구 관계 조사 촉구,2020-07-04,311명
문화/예술/체육/언론,스팀 게임 등급 분류에 반대합니다.,2020-07-04,"1,654명"
행정,가정폭력 피해자는 긴급재난지원금도 못받나요?,2020-07-04,307명
기타,청주에 문화재,2020-07-04,141명
문화/예술/체육/언론,게임물관리위원회의 과도한 게임 규제와 게임 탄압을 멈춰주세요.,2020-07-04,"52,872명"
기타,부산 연제구 신축아파트 한집에 집주인이 4명 입니다. 도와주세요!,2020-07-04,491명
행정,"허위 사실 유포 등을 통한 주식시장 교란행위, 주가조작 행위자에 대해 엄벌 및 재발 방지를 위한 대책을 강화해 주세요!",2020-07-04,448명
안전/환경,아동학대사건에 보다 강력한 처벌을 위한 법개정을 요청합니다,2020-07-04,"1,269명"
육아/교육,자기 이익만 챙기는 어린이집 원장님들에 대한 처벌강화해주세요,2020-07-04,497명
인권/성평등,우리 아들은 억울합니다 도와주세요,2020-07-04,393명
인권/성평등,어디선가 고통받을 아이들을 지켜주세요. 강력한 법의 울타리로 보호해주세요.,2020-07-04,928명
인권/성평등,N번방 유료 회원 신상 공개 및 성범죄자 알림이 등록을 청원합니다,2020-07-04,"93,737명"
육아/교육,우리나라 청소년 성교육의 전면적 개편이 시급합니다,2020-07-04,622명
육아/교육,코로나19 의심증상 학생들이 선별진료소에 갈 수 있도록 홍보해주세요.,2020-07-04,212명
문화/예술/체육/언론,태권도인들에게 힘을 넣어 주기위해 국기원 시범단 청와대 온라인 공연을 해주세요.,2020-07-04,216명
보건복지,재난 상황 속 장애인들을 위한 가이드라인 제정을 촉구합니다.,2020-07-04,323명
보건복지,질병관리청 승격. 제대로 해주셔야 합니다.,2020-07-04,"31,441명"
행정,이 시국에“국민의 혈세를 낭비”말이 됩니까?,2020-07-03,574명
보건복지,코로나 확산 전시회를 중단해 주세요 (6월 코엑스 전시회),2020-07-03,"1,640명"
안전/환경,뉴질랜드 있는 한인들이 고국에 돌아갈 수 있도록 도와주세요!,2020-07-03,404명
인권/성평등,서울역폭행사건 CCTV 확보조차 안 한 직무유기 철도경찰 징계해주세요,2020-07-03,"3,785명"
문화/예술/체육/언론,M사 **수첩 외 공영방송의  취재윤리와 보도행태에 대해 엄중한 제재를 부탁드립니다.,2020-07-03,263명
일자리,ICT / IoT를 활용한 스마트 염전으로 질 좋은 대단위 일자리창출과 천일염 세계화 전략.,2020-07-03,185명
문화/예술/체육/언론,어머니의 배움의 한을 짓밟은 이 사람들이 책임을 질 수 있도록 도와주세요.!,2020-07-03,259명
인권/성평등,미성년자가  성폭행을 당하였는데 **고등학교는 나몰라라하고있습니다,2020-07-03,"1,351명"
보건복지,간호조무사의 청원을 들어주세요,2020-07-03,314명
기타,미니홈피~ 싸이월드 추억소환~ 심폐소생~ 부탁드려요!!!!!!!,2020-07-03,"2,344명"
행정,코로나19로 피해가 심각한 자영업자 금융지원대상 범위를 확대해 주십시요!,2020-07-03,202명
기타,5대종부 84세 며느리 입니다. 도와주세요. 억울합니다!,2020-07-03,270명
안전/환경,특수고용직 사각지대 에어컨기사님의추락사 이시대안전을 보장받지못하는 노동자여러분과 특수고용직의 안전망확대위해 청원올립니다,2020-07-03,"2,131명"
안전/환경,서울역 묻지마 폭행사건 빨리수사와 그리고 서울역에 cctv없다니요 설치해주세요,2020-07-03,488명
육아/교육,대한민국 성교육 표준안 개정을 요구합니다.,2020-07-03,"3,799명"
보건복지,사람,2020-07-03,368명
육아/교육,등교개학연기를 요청합니다,2020-07-03,"1,044명"
문화/예술/체육/언론,불법사이트 단속과 처벌을 강화해주세요!!! (9),2020-07-03,"7,703명"
육아/교육,유은혜 교육부장관님은 약속을 지키십시오.,2020-07-03,784명
기타,청원 게시판의 폐지에 대한 검토를 요청드립니다.,2020-07-03,161명
보건복지,면역항암제로 치료의 기회를 얻을 수 있도록 도와주세요.,2020-07-03,372명
인권/성평등,"다문화 시대, 다문화 가정의 부모(외국국적 장인,장모 또는 시부모)를 위한 비자를 지원해주세요",2020-07-03,"2,043명"
정치개혁,"(2020.5.20)개악한 교원노조법을  ILO권고 기준에 맞게 제, 개정을 청원합니다.",2020-07-03,481명
보건복지,"헌혈증서를 없애고 헌혈자 정보를 건강보험심사평가원에 등록하도록 「대한적십자사 조직법」 , 「혈액관리법」 등을 정비할 것을 청원합니다.",2020-07-03,192명
기타,대형마트내 임대(수수료) 매장에서도 긴급재난지원금을 사용할 수 있도록 해주세요,2020-07-03,209명
육아/교육,가정학습시 온라인 수업을 할 수 있게 해주세요,2020-07-03,356명
인권/성평등,정의연에 대한 정부 지원금 중단 및 해체 청원,2020-07-03,"2,292명"
기타,파주 운정신도시에 경기교통공사 신설 및 경기도일자리재단등 2개 이상 공공기관 이전 유치 확정시켜 주세요!,2020-07-03,"3,255명"
교통/건축/국토,집 하자로 고통스럽습니다,2020-07-03,210명
문화/예술/체육/언론,유튜브에서 성인 게임 광고를 삭제해 주세요.,2020-07-03,"3,173명"
안전/환경,강릉**대 기말고사 대면시험,2020-07-03,197명
외교/통일/국방,"남북의 부동산, 주식 시장공유를 반대합니다.",2020-07-02,824명
문화/예술/체육/언론,【공직유관단체 **○○체육회의 규정위반을 고발합니다.】,2020-07-02,197명
경제민주화,중소기업을 6년간 괴롭히다가 합격을 하니 수치조작 하여 불합격 처리한건,2020-07-02,562명
육아/교육,베이비마스크도 공적마스크로 생산의무화를 부탁드립니다.,2020-07-02,306명
보건복지,브라질 재외한인들을 위한 전세기를 투입해주세요,2020-07-02,133명
기타,부자들을 위해 존재하는  LH를 고발합니다,2020-07-02,"1,073명"
일자리,코로나19시대 경제살리기를 위하여 온라인 마권 발매를 시행하기 바랍니다,2020-07-02,"1,604명"
반려동물,동물은 물건이 아닙니다. (민법)제 98조 물건 정의에서 동물을 제외시켜 주세요.,2020-07-02,"6,730명"
반려동물,축산물위생관리법 상 가축이외 동물도살·유통·판매를 금지하는 내용의 축산물위생관리법 개정,2020-07-02,"2,110명"
보건복지,긴급재난지원금 해외체류자 제외는 위헌입니다,2020-07-02,"2,072명"
농산어촌,어느 농부의 아쉽고 슬픈 고백,2020-07-02,218명
성장동력,5G 양자정보통신 활성화 정보통신융합특별법 개정(안) 및 예산지원,2020-07-02,126명
교통/건축/국토,송도 ***** 조합원의 억울함을 풀어주세요.,2020-07-02,981명
안전/환경,"민식이법을 확대, 강화하여 주시고 민식군 부모님에 대한 2차 가해자들을 처벌하여 주십시요.",2020-07-02,240명
안전/환경,서울역 묻지마 폭행 용의자 특정+강력 처벌을 청원합니다.,2020-07-02,"19,155명"
일자리,스포츠 업종 지원 대상의 확대로 유소년스포츠클럽을 지켜주세요.,2020-07-02,"1,260명"
문화/예술/체육/언론,*****의 문화훈장을 회수해주십시오,2020-07-02,201명
기타,기사 제,2020-07-02,810명
경제민주화,"원유ETN 문제와 관련하여 금감원, 증권거래소에 대한 감사원의 감사를 요청합니다.",2020-07-02,285명
일자리,대기업들이 전세기를 띄워가며 해외 현지 공장을 가동하기위해 기술자들을 파견하고 있습니다.코로나 19로 위험한 지역입니다.안전조치를 마련하고 출장시기를 미룰것을 요청 합니다.,2020-07-02,215명
미래,2020년 고3의 체육특기자 의 대학 진학을 보장해 주세요,2020-07-01,252명
행정,15년간 반대단체로 활동하고 있는 시민운동가가 어째서 대통령직속 국가균형발전위원회의 위원으로 활동 할수가 있습니까? 이분을 해임해 주십시요.,2020-07-01,356명
행정,"2012 국정원 댓글 조작, 셀프감금 사건 주인공 국정원 *** 직원의 승진을 취소하고 파면을 요청합니다.",2020-07-01,"14,726명"
정치개혁,간첩조작.공작.조작.유서대필등  남을 파멸시킨 중대 범죄들은 공소시효를 없애고 소굽적용 할수 있는 법을 만들어 주세요.,2020-07-01,"1,263명"
인권/성평등,더불어민주당 당선자 윤미향은 의원직사퇴하고 검찰조사에 응하라,2020-07-01,"4,201명"
안전/환경,쿠팡 근로자들이 최소한만이라도 안전한 환경에서 근무할 수 있도록 제발 도와주세요,2020-07-01,"1,535명"
일자리,강성노조 피해신고 센터를 만들 것을 국민의 이름으로 청원합니다.,2020-07-01,645명
행정,"인천광역시 코로나19 관련 확진 동선공개 알림 무의미, 변경을 요청합니다.",2020-07-01,342명
일자리,"2020 경찰 시험 한국사 9번문제 복수정답 사안, 도와주세요 말이안됩니다.",2020-07-01,516명
교통/건축/국토,신흥동 영장산을 훼손하는 복정2지구 사업을 철회시켜 주시기 바랍니다.,2020-07-01,"1,730명"
보건복지,K방역 환상에서 깨어납시다.,2020-07-01,"2,042명"
인권/성평등,성차별적 노예제도인 사회 복무 요원 제도는 폐지 되어야합니다,2020-07-01,251명
인권/성평등,인천 부평 모 칵테일바 사장 J군의 불법촬영 사건을 강력처벌해 주세요.,2020-07-01,"10,475명"
행정,인천시가 추경에 편성한 잔여급식비 133억원을 아이들에게 돌려주세요,2020-07-01,630명
안전/환경,17억 5천만원을 노린 여수 금오도 살인사건. 불쌍한 우리 엄마,2020-07-01,"5,591명"
보건복지,"국민연금관리공단(구리, 남양주지사) 시스템 및 연금 지급에 대한 문제점",2020-07-01,253명
보건복지,쿠팡은 공공의 적이 아닙니다,2020-07-01,979명
인권/성평등,무분별한 인터넷을 통한 남을 괴롭히는 자들을 피해자고소가 아닌 제보형신고제로 처벌하는법을 만들어주세요,2020-07-01,275명
인권/성평등,쫏겨나 갈 곳이 없습니다  도와 주십시요,2020-07-01,272명
보건복지,2020 워터밤 축제 무기한 연장해주세요,2020-07-01,193명
인권/성평등,의제강간 연령 상향을 만 19세로 해야합니다,2020-07-01,260명
행정,법원 관청 친일 공직자 삼박자 도둑질 발견.,2020-07-01,523명
보건복지,노인맞춤돌봄서비스를 위해서 생활지원사에게 개인 휴대전화 사용과 그 비용을 강요시키는 보건복지부의 맞춤광장앱 적용 정책이 현실적인지 확인해 주십시오.,2020-07-01,"1,223명"
정치개혁,"국회 법제 사법위원회는 변호사들의 전유물, 이대로 둘 것인가!!!",2020-07-01,287명
문화/예술/체육/언론,연합뉴스.뉴스1.뉴시스 에  지원되는 국민세금  새해 예산부터 지원  끊어 주세요,2020-07-01,399명
보건복지,코로나 바이러스 확산을 막아야 하커로나 시국인데 회사에서 수천명을 모아서 반나절동안 행사를 하고 있습니다.,2020-07-01,633명
안전/환경,밀실행정을 바로잡아주세요,2020-07-01,147명
육아/교육,부산 금정구 초.중.고등학교 등교를 중지시키고 온라인 수업으로 전환하기를 요구합니다.,2020-07-01,270명
교통/건축/국토,지역주택조합아파트의 비리를 수사하여 주시기를 간절히 희망합니다.,2020-07-01,"2,445명"
기타,***에서 일어난 폭행사건의 가해자들을 엄중히 처벌해주세요.,2020-07-01,236명
인권/성평등,대한민국 헌법과 UN 아동 권리협약을 어기는 스마트폰 통제앱을 모두 규탄해주세요.,2020-07-01,733명
외교/통일/국방,주일미군으로 빼돌려지는 주한미군 분담금 지급을 멈춰 주세요!,2020-07-01,"3,026명"
보건복지,방 한 칸에서 60일 이상을 견뎌야 하는 코로나 장기 양성 반응자들의 고통,2020-07-01,175명
행정,공정거래위원회도 외면하면서 위법한 대기업편들기,2020-07-01,157명
문화/예술/체육/언론,정부 광고 및 홍보 종이신문이 아닌 인터넷으로 게제를,2020-07-01,146명
교통/건축/국토,서울시 TBS 95.1 교통방송 교통정보를 내보내야 합니다,2020-07-01,354명
안전/환경,전학년 등교를 멈춰주세요.,2020-07-01,"1,023명"
행정,소음으로죽어가는 주민 빠른 이주대책수립 희망,2020-07-01,123명
인권/성평등,학생들의 신체 자유를 무시하는 두발규정을 모든학교에서 없애주세요,2020-07-01,258명
보건복지,이 기회에 재단법인 세무조사 하여 *******재단 복지자금을 철저하게 전수조사하라.,2020-07-01,581명
외교/통일/국방,"코로나로 인한 출국불가 , 2020년 출국예정이었던 워킹홀리데이 참가자들의 비자연장을 할 수있게 도와주세요",2020-07-01,152명
안전/환경,올해 해수욕장 개장 반대합니다,2020-07-01,635명
기타,**전자 ****(*****)의 불법적인 행태를 멈춰주세요,2020-07-01,395명
문화/예술/체육/언론,대기업 갑질 (야구장 입장을 못해서 연간회권(티켓형) 정상적인 환불 요청),2020-07-01,150명
기타,*** 온라인의 미성년자 부모동의없는 결제건 환불취소,2020-07-01,156명
육아/교육,순차적 등교개학을 중지하고 입시 일정을 연기해 주십시오.,2020-07-01,992명
기타,서민울리는 기업사냥꾼 조사 부탁드립니다.,2020-07-01,182명
행정,간단한 서류를 제출할 때 FAX(팩스)로 제출하는 대신 이메일로도 제출할 수 있게 해주세요.,2020-07-01,133명
행정,형제자매는 가족관계가 아닌가요? (가족관계증명서 형제 자매 등재 요청),2020-07-01,290명
행정,소상공인을 위한 경영안정자금 왜? 건물주에게 가있나?,2020-07-01,156명
교통/건축/국토,층간소음 해결책을 마련해주세요.,2020-07-01,397명
육아/교육,제발 학생들의,2020-06-30,"2,490명"
육아/교육,특수학교 장애아동 교육정책 재검토가 꼭 필요합니다.,2020-06-30,233명
보건복지,어린이집 아이들도 코로나에서 보호받을 수 있게 해주세요.,2020-06-30,"1,619명"
육아/교육,등교/등원 개학 멈춰주세요,2020-06-30,"1,660명"
반려동물,애견샵 구매 보호법 청원합니다,2020-06-30,959명
인권/성평등,남성에게만 부과되는 징병제,2020-06-30,458명
육아/교육,초등생 무상급식 지원 아닌 가요?,2020-06-30,255명
일자리,분양상담사의무교육 변경을 요구합니다.,2020-06-30,964명
교통/건축/국토,강변북로 교통정체를 해결해주세요,2020-06-30,399명
육아/교육,한부모 가정 수급조건 완화해주세요.~,2020-06-30,981명
인권/성평등,"대전 스쿨미투 성폭력 재발방지를 위해 설동호 교육감은 학생인권조례, 전체 학교 성폭력 전수조사 실시하라.",2020-06-28,"1,823명"
안전/환경,코로나19 치료제 및 백신,2020-06-28,317명
인권/성평등,점심시간 30분 늦었다고 경찰 복무 5일 더 해야 하나요?,2020-06-28,"1,140명"
기타,"유튜버 더블비,유튜버 김재원을 비하발언한 **을 처벌해 주세요.",2020-06-28,267명
교통/건축/국토,"용산 정비창 부지 8,000호 주택공급 계획에 대한 재검토 요청",2020-06-28,494명
인권/성평등,광주광역시 법인택시(**교통) 사모님의 갑질,2020-06-28,431명
보건복지,등교개학을 미뤄주세요.,2020-06-28,"3,604명"
외교/통일/국방,"6.25참전 영웅, 소년병 어르신들을 위한 특별입법을 촉구합니다!!!",2020-06-28,712명
문화/예술/체육/언론,[더킹: 영원의 군주]와 관련된 SBS와 정부의 입장에 대해 알려주십시오.,2020-06-28,333명
농산어촌,저희 주민이 낳고 살아온 보금자리를 지켜주세요,2020-06-28,373명
인권/성평등,"지적장애 여성을 성폭행,폭행,금품 갈취한 장애인 단체장을 구속 수사할 것을 청원합니다.",2020-06-28,"3,022명"
보건복지,부천 ** **** 콜센터에서 일합니다,2020-06-28,566명
교통/건축/국토,**** **** 2열 독립공조사기,2020-06-28,682명
인권/성평등,"**전자 **** 판매직원들의 인권지킴을 향한 호소. 국내 서비스, 판매직 근로자의 인권을 지켜주세요",2020-06-28,"1,978명"
미래,대학 전체 전공교수 절반정도를 다른 학과로 전보한 비정상적 인사파동으로 무너져가는 우리대학을 살려주세요.,2020-06-28,673명
문화/예술/체육/언론,(사)********연합회 갑질과 횡포를 고발 합니다.,2020-06-28,"1,269명"
행정,법무부의 출입국관리법시행령 중 24 ‘F-2-7 점수제 비자’의 새 시행령에 반대합니다.,2020-06-28,"1,644명"
기타,***** 리뷰 폐지 청원드립니다.,2020-06-28,303명
교통/건축/국토,제주 *****노조 장기파업에 따른 조속한 해결촉구,2020-06-28,137명
육아/교육,"등록금 반환을 해야 하는 이유 3가지: 정부는 온라인 강의로 인한 질 저하, 코로나 19로 인한 소득 감소, 대학의 등록금 상품화에 대한 정책적 대안을 답변해주십시오.",2020-06-28,939명
미래,사기죄를 고발합니다.,2020-06-28,217명
보건복지,안녕하세요 한가정을 책임지고 있는 가장입니다.....,2020-06-28,380명
보건복지,"두통중 가장 고통이 심한 군발두통,산소처방이 필요합니다.",2020-06-28,304명
안전/환경,사회적 거리두기 복귀를 청원합니다.,2020-06-28,"1,252명"
정치개혁,제21대 국회해산을 요청합니다.,2020-06-27,640명
육아/교육,경주 스쿨존 사고 가해자 엄벌해주세요,2020-06-27,"5,544명"
안전/환경,보험중개사의 위험자문보고서가 있어야 기업보험에 가입할 수 있도록 해 주세요!!   그러면 이천 물류창고 화재사고나 세월호 사고 같은 기업의 재난을 막을 수 있습니다.,2020-06-27,370명
일자리,임금체불 민사소송절차 간편화,2020-06-27,251명
일자리,일할수있게해주세요,2020-06-27,"1,599명"
기타,가짜뉴스를 퍼트리고 5.18민주화운동의 첫번째 사망자를 모욕하는 유튜버를 처벌바랍니다.,2020-06-27,"1,188명"
육아/교육,국공립 유치원의 시설 환경 및 운영체계 개선을 청원합니다!!(부제: 아이가 다쳐도 아무도 몰라요),2020-06-27,283명
보건복지,국립중앙의료원을 한반도 중심(연천군)으로 이전 신축하여 '남북 접경지역 평화벨트 구축’을 도와주십시오,2020-06-27,"1,023명"
보건복지,생후 22일된 우리아기가 의료사고로 인해 세상을 떠났습니다.,2020-06-27,"14,579명"
외교/통일/국방,우리군은 우리옷으로 !  (국산 원사 원단 사용),2020-06-27,"2,611명"
기타,"네이버 중고나라 카페 사기치기 너무나 좋은 조건과 환경 제발 좀 막아주시고, 답변을 얻을수 있게 도와 주세요.",2020-06-27,292명
육아/교육,중고생 봉사활동을 폐지해주세요,2020-06-27,"2,524명"
기타,덕소에 동양하루살이 때문에 너무 너무 힘듭니다,2020-06-27,"1,664명"
인권/성평등,제발 제발 꼭 좀 청원내용을 확인해주세요 제발 부탁드립니다,2020-06-27,"1,684명"
인권/성평등,노숙인들에게도 긴급재난지원금 수령권이 보장되어야 합니다,2020-06-27,"2,572명"
보건복지,대통령님 제 어머니좀 살려주십시요,2020-06-27,299명
미래,﻿문재인 대통령님. 긴급 재난지원금 기부를 중단하고 대국민 희망 이벤트를 여세요!,2020-06-27,298명
안전/환경,등교 중지 부탁드립니다!,2020-06-27,"1,819명"
교통/건축/국토,용산철도정비창 국제업무지구 원안개발 국민청원,2020-06-27,441명
미래,군복 원자재 국산 사용을 요청합니다.,2020-06-27,"1,183명"
행정,"""교민도 국민이다"",  재외국민도 코로나 재난지원금 수령할 수 있게 해주세요",2020-06-27,185명
인권/성평등,24시간 감시 당하고 쫒아 다니면서 괴롭히는 무리들,2020-06-27,274명
안전/환경,학교 교실 내 공기 질 관리를 위해 기계식 환기 장치가 필요합니다,2020-06-27,506명
인권/성평등,"여자설계사 상습성추행 및 협박, 그리고 외면하는 국가기관",2020-06-26,438명
교통/건축/국토,용산 4구역 재개발구역 주차상한제 1급지에 용산구청의 '공영주차장 사업 강행'을 막아주세요.,2020-06-26,"1,096명"
보건복지,꼭 봐주십시오! 말기암환자의 아들입니다. 급여제도 변경을 위한 호소,2020-06-26,778명
기타,민식이법으로 인해 아이들이 더 위험해졌어요,2020-06-26,525명
일자리,한국가스공사는 비정규직 노동자들의 임금 착취를 중단하고 속히 지급하라!,2020-06-26,539명
문화/예술/체육/언론,음주운전에 세번 적발된 야구선수 ***에게 강한 징계를 내려주세요.,2020-06-26,821명
육아/교육,구리시 유소년축구단해체를 막아주세요,2020-06-26,381명
문화/예술/체육/언론,***선수 KBO리그복귀 결사반대,2020-06-26,366명
보건복지,무엇을 위한 장애재판정 인가요?,2020-06-26,817명
안전/환경,5월과 6월에  예정된 국가 고시 및 전문자격증 일체 시험 일정을 연기할것을 요청합니다,2020-06-26,955명
보건복지,루게릭병환우가족들을 도와주세요,2020-06-26,339명
보건복지,코로나19로 인한 다른 긴급한 환자분들 및 그 가족분들을 어려움을 들어주세요,2020-06-26,849명
행정,Tv조선 방종오수상한거래,2020-06-26,497명
교통/건축/국토,재개발 이권단체를 처단하고 이들과 결탁한 ***** 의사를 엄벌하여 주시기를 간곡히 청원합니다.,2020-06-26,168명
