,년도,광역,기초,경찰서,연령,발생건수,가구수,발생율,범죄피해율
452,2017,경북,상주시,경북상주경찰서,21~30세,159,1393,11.41,11414.21
453,2017,경북,상주시,경북상주경찰서,31~40세,225,859,26.19,26193.25
454,2017,경북,상주시,경북상주경찰서,41~50세,345,1173,29.41,29411.76
455,2017,경북,상주시,경북상주경찰서,51~60세,364,2192,16.61,16605.84
456,2017,경북,상주시,경북상주경찰서,61~세,393,8515,4.62,4615.38
457,2017,경북,성주군,경북성주경찰서,16~20세,26,10,260.0,260000.0
458,2017,경북,성주군,경북성주경찰서,21~30세,87,265,32.83,32830.19
459,2017,경북,성주군,경북성주경찰서,31~40세,115,373,30.83,30831.1
460,2017,경북,성주군,경북성주경찰서,41~50세,173,602,28.74,28737.54
461,2017,경북,성주군,경북성주경찰서,51~60세,242,1220,19.84,19836.07
462,2017,경북,성주군,경북성주경찰서,61~세,188,3358,5.6,5598.57
463,2017,경북,안동시,경북안동경찰서,16~20세,203,402,50.5,50497.51
464,2017,경북,안동시,경북안동경찰서,21~30세,517,3711,13.93,13931.55
465,2017,경북,안동시,경북안동경찰서,31~40세,630,2159,29.18,29180.18
466,2017,경북,안동시,경북안동경찰서,41~50세,777,2633,29.51,29510.06
467,2017,경북,안동시,경북안동경찰서,51~60세,799,3603,22.18,22175.96
468,2017,경북,안동시,경북안동경찰서,61~세,589,10008,5.89,5885.29
469,2017,경북,영덕군,경북영덕경찰서,21~30세,119,211,56.4,56398.1
470,2017,경북,영덕군,경북영덕경찰서,31~40세,126,304,41.45,41447.37
471,2017,경북,영덕군,경북영덕경찰서,41~50세,198,515,38.45,38446.6
472,2017,경북,영덕군,경북영덕경찰서,51~60세,255,1096,23.27,23266.42
473,2017,경북,영덕군,경북영덕경찰서,61~세,208,4387,4.74,4741.28
474,2017,경북,영양군,경북영양경찰서,21~30세,17,68,25.0,25000.0
475,2017,경북,영양군,경북영양경찰서,31~40세,31,108,28.7,28703.7
476,2017,경북,영양군,경북영양경찰서,41~50세,66,206,32.04,32038.83
477,2017,경북,영양군,경북영양경찰서,51~60세,83,445,18.65,18651.69
478,2017,경북,영양군,경북영양경찰서,61~세,71,1854,3.83,3829.56
479,2017,경북,영주시,경북영주경찰서,16~20세,89,204,43.63,43627.45
480,2017,경북,영주시,경북영주경찰서,21~30세,229,2175,10.53,10528.74
481,2017,경북,영주시,경북영주경찰서,31~40세,344,1073,32.06,32059.65
482,2017,경북,영주시,경북영주경찰서,41~50세,326,1391,23.44,23436.38
483,2017,경북,영주시,경북영주경찰서,51~60세,402,2345,17.14,17142.86
484,2017,경북,영주시,경북영주경찰서,61~세,382,6964,5.49,5485.35
485,2017,경북,영천시,경북영천경찰서,16~20세,93,43,216.28,216279.07
486,2017,경북,영천시,경북영천경찰서,21~30세,234,825,28.36,28363.64
487,2017,경북,영천시,경북영천경찰서,31~40세,333,1232,27.03,27029.22
488,2017,경북,영천시,경북영천경찰서,41~50세,497,1699,29.25,29252.5
489,2017,경북,영천시,경북영천경찰서,51~60세,479,2669,17.95,17946.8
490,2017,경북,영천시,경북영천경찰서,61~세,455,7636,5.96,5958.62
491,2017,경북,예천군,경북예천경찰서,16~20세,17,14,121.43,121428.57
492,2017,경북,예천군,경북예천경찰서,21~30세,34,315,10.79,10793.65
493,2017,경북,예천군,경북예천경찰서,31~40세,59,438,13.47,13470.32
494,2017,경북,예천군,경북예천경찰서,41~50세,102,508,20.08,20078.74
495,2017,경북,예천군,경북예천경찰서,51~60세,138,986,14.0,13995.94
496,2017,경북,예천군,경북예천경찰서,61~세,149,4642,3.21,3209.82
497,2017,경북,울릉군,경북울릉경찰서,21~30세,7,135,5.19,5185.19
498,2017,경북,울릉군,경북울릉경찰서,31~40세,19,205,9.27,9268.29
499,2017,경북,울릉군,경북울릉경찰서,41~50세,27,303,8.91,8910.89
500,2017,경북,울릉군,경북울릉경찰서,51~60세,50,417,11.99,11990.41
501,2017,경북,울릉군,경북울릉경찰서,61~세,38,578,6.57,6574.39
502,2017,경북,울진군,경북울진경찰서,16~20세,21,9,233.33,233333.33
503,2017,경북,울진군,경북울진경찰서,21~30세,65,469,13.86,13859.28
504,2017,경북,울진군,경북울진경찰서,31~40세,99,594,16.67,16666.67
505,2017,경북,울진군,경북울진경찰서,41~50세,197,816,24.14,24142.16
506,2017,경북,울진군,경북울진경찰서,51~60세,240,1434,16.74,16736.4
507,2017,경북,울진군,경북울진경찰서,61~세,161,4523,3.56,3559.58
508,2017,경북,의성군,경북의성경찰서,21~30세,65,236,27.54,27542.37
509,2017,경북,의성군,경북의성경찰서,31~40세,90,294,30.61,30612.24
510,2017,경북,의성군,경북의성경찰서,41~50세,160,485,32.99,32989.69
511,2017,경북,의성군,경북의성경찰서,51~60세,210,1270,16.54,16535.43
512,2017,경북,의성군,경북의성경찰서,61~세,246,6386,3.85,3852.18
513,2017,경북,청도군,경북청도경찰서,16~20세,15,6,250.0,250000.0
514,2017,경북,청도군,경북청도경찰서,21~30세,40,164,24.39,24390.24
515,2017,경북,청도군,경북청도경찰서,31~40세,77,266,28.95,28947.37
516,2017,경북,청도군,경북청도경찰서,41~50세,179,489,36.61,36605.32
517,2017,경북,청도군,경북청도경찰서,51~60세,217,1147,18.92,18918.92
518,2017,경북,청도군,경북청도경찰서,61~세,239,4548,5.26,5255.06
519,2017,경북,청송군,경북청송경찰서,21~30세,29,144,20.14,20138.89
520,2017,경북,청송군,경북청송경찰서,31~40세,52,221,23.53,23529.41
521,2017,경북,청송군,경북청송경찰서,41~50세,106,352,30.11,30113.64
522,2017,경북,청송군,경북청송경찰서,51~60세,111,748,14.84,14839.57
523,2017,경북,청송군,경북청송경찰서,61~세,120,2609,4.6,4599.46
524,2017,경북,칠곡군,경북칠곡경찰서,16~20세,131,329,39.82,39817.63
